Participant,replicate,front-back,left-right,top-bottom,role,grid,black_animal_C,blue_animal_C,red_animal_C
C,01,B,L,B,receiver,E24,0,0,0
C,01,B,L,B,receiver,F24,0,0,0
C,01,B,R,T,receiver,A1,0,1,0
C,01,B,R,T,receiver,B1,0,0,0
C,01,B,R,T,receiver,C1,0,0,0
C,01,B,R,T,receiver,D1,0,0,0
C,01,B,R,T,receiver,E1,0,0,0
C,01,B,R,T,receiver,F1,0,0,0
C,01,B,R,T,receiver,A2,1,0,0
C,01,B,R,T,receiver,B2,0,0,0
C,01,B,R,T,receiver,C2,1,0,0
C,01,B,R,T,receiver,D2,1,0,0
C,01,B,R,T,receiver,E2,0,0,0
C,01,B,R,T,receiver,F2,0,0,0
C,01,B,R,T,receiver,A3,0,0,0
C,01,B,R,T,receiver,B3,0,0,0
C,01,B,R,T,receiver,C3,0,0,0
C,01,B,R,T,receiver,D3,0,0,0
C,01,B,R,T,receiver,E3,0,0,0
C,01,B,R,T,receiver,F3,0,0,0
C,01,B,R,T,receiver,A4,0,0,0
C,01,B,R,T,receiver,B4,0,0,0
C,01,B,R,T,receiver,C4,0,0,0
C,01,B,R,T,receiver,D4,0,0,0
C,01,B,R,T,receiver,E4,0,0,0
C,01,B,R,T,receiver,F4,0,0,0
C,01,B,R,T,receiver,A5,1,0,0
C,01,B,R,T,receiver,B5,0,0,0
C,01,B,R,T,receiver,C5,0,0,0
C,01,B,R,T,receiver,D5,0,0,0
C,01,B,R,T,receiver,E5,0,0,0
C,01,B,R,T,receiver,F5,0,0,0
C,01,B,R,T,receiver,A6,0,0,0
C,01,B,R,T,receiver,B6,1,0,0
C,01,B,R,T,receiver,C6,0,0,0
C,01,B,R,T,receiver,D6,0,0,0
C,01,B,R,T,receiver,E6,0,0,1
C,01,B,R,T,receiver,F6,0,0,0
C,01,B,R,T,receiver,A7,0,0,0
C,01,B,R,T,receiver,B7,0,0,0
C,01,B,R,T,receiver,C7,0,0,0
C,01,B,R,T,receiver,D7,0,0,0
C,01,B,R,T,receiver,E7,0,0,0
C,01,B,R,T,receiver,F7,0,0,0
C,01,B,R,T,receiver,A8,0,0,0
C,01,B,R,T,receiver,B8,0,0,0
C,01,B,R,T,receiver,C8,0,0,0
C,01,B,R,T,receiver,D8,0,0,0
C,01,B,R,T,receiver,E8,0,1,1
C,01,B,R,T,receiver,F8,0,1,0
C,01,B,R,T,receiver,A9,0,0,0
C,01,B,R,T,receiver,B9,0,0,1
C,01,B,R,T,receiver,C9,0,0,0
C,01,B,R,T,receiver,D9,0,0,0
C,01,B,R,T,receiver,E9,0,0,0
C,01,B,R,T,receiver,F9,0,0,0
C,01,B,R,T,receiver,A10,0,0,0
C,01,B,R,T,receiver,B10,0,1,1
C,01,B,R,T,receiver,C10,0,0,0
C,01,B,R,T,receiver,D10,0,0,0
C,01,B,R,T,receiver,E10,0,0,0
C,01,B,R,T,receiver,F10,0,0,0
C,01,B,R,T,receiver,A11,0,0,0
C,01,B,R,T,receiver,B11,0,0,0
C,01,B,R,T,receiver,C11,0,0,0
C,01,B,R,T,receiver,D11,0,0,0
C,01,B,R,T,receiver,E11,0,0,0
C,01,B,R,T,receiver,F11,0,0,0
C,01,B,R,T,receiver,A12,0,0,0
C,01,B,R,T,receiver,B12,0,0,0
C,01,B,R,T,receiver,C12,0,0,0
C,01,B,R,T,receiver,D12,0,0,0
C,01,B,R,T,receiver,E12,0,0,0
C,01,B,R,T,receiver,F12,0,0,0
C,01,B,R,T,receiver,A13,0,0,0
C,01,B,R,T,receiver,B13,0,0,0
C,01,B,R,T,receiver,C13,0,0,0
C,01,B,R,T,receiver,D13,0,0,0
C,01,B,R,T,receiver,E13,0,0,0
C,01,B,R,T,receiver,F13,1,0,0
C,01,B,R,T,receiver,A14,0,0,0
C,01,B,R,T,receiver,B14,0,0,0
C,01,B,R,T,receiver,C14,0,1,1
C,01,B,R,T,receiver,D14,0,0,0
C,01,B,R,T,receiver,E14,0,0,0
C,01,B,R,T,receiver,F14,0,0,0
C,01,B,R,T,receiver,A15,0,0,0
C,01,B,R,T,receiver,B15,0,0,0
C,01,B,R,T,receiver,C15,0,0,0
C,01,B,R,T,receiver,D15,0,0,1
C,01,B,R,T,receiver,E15,0,0,0
C,01,B,R,T,receiver,F15,0,0,0
C,01,B,R,T,receiver,A16,1,0,0
C,01,B,R,T,receiver,B16,1,1,0
C,01,B,R,T,receiver,C16,0,0,0
C,01,B,R,T,receiver,D16,0,0,0
C,01,B,R,T,receiver,E16,0,0,0
C,01,B,R,T,receiver,F16,0,0,0
C,01,B,R,T,receiver,A17,0,0,0
C,01,B,R,T,receiver,B17,1,0,1
C,01,B,R,T,receiver,C17,0,0,0
C,01,B,R,T,receiver,D17,0,0,0
C,01,B,R,T,receiver,E17,0,0,0
C,01,B,R,T,receiver,F17,0,0,0
C,01,B,R,T,receiver,A18,0,0,0
C,01,B,R,T,receiver,B18,0,0,0
C,01,B,R,T,receiver,C18,0,0,0
C,01,B,R,T,receiver,D18,0,0,0
C,01,B,R,T,receiver,E18,0,0,0
C,01,B,R,T,receiver,F18,0,0,0
C,01,B,R,T,receiver,A19,0,0,0
C,01,B,R,T,receiver,B19,0,0,0
C,01,B,R,T,receiver,C19,0,0,0
C,01,B,R,T,receiver,D19,0,0,0
C,01,B,R,T,receiver,E19,0,0,0
C,01,B,R,T,receiver,F19,0,0,0
C,01,B,R,T,receiver,A20,0,0,0
C,01,B,R,T,receiver,B20,0,1,0
C,01,B,R,T,receiver,C20,0,0,0
C,01,B,R,T,receiver,D20,0,0,0
C,01,B,R,T,receiver,E20,0,0,0
C,01,B,R,T,receiver,F20,0,0,0
C,01,B,R,T,receiver,A21,0,0,0
C,01,B,R,T,receiver,B21,0,0,0
C,01,B,R,T,receiver,C21,0,0,0
C,01,B,R,T,receiver,D21,0,0,0
C,01,B,R,T,receiver,E21,0,0,0
C,01,B,R,T,receiver,F21,0,0,0
C,01,B,R,T,receiver,A22,1,0,0
C,01,B,R,T,receiver,B22,0,0,0
C,01,B,R,T,receiver,C22,0,0,0
C,01,B,R,T,receiver,D22,0,0,0
C,01,B,R,T,receiver,E22,0,0,0
C,01,B,R,T,receiver,F22,0,0,0
C,01,B,R,T,receiver,A23,0,0,0
C,01,B,R,T,receiver,B23,0,0,0
C,01,B,R,T,receiver,C23,0,0,0
C,01,B,R,T,receiver,D23,0,0,0
C,01,B,R,T,receiver,E23,0,0,0
C,01,B,R,T,receiver,F23,0,0,0
C,01,B,R,T,receiver,A24,0,0,0
C,01,B,R,T,receiver,B24,0,0,0
C,01,B,R,T,receiver,C24,0,0,0
C,01,B,R,T,receiver,D24,0,0,0
C,01,B,R,T,receiver,E24,0,0,0
C,01,B,R,T,receiver,F24,0,0,0
C,01,B,R,B,receiver,A1,0,0,0
C,01,B,R,B,receiver,B1,0,0,0
C,01,B,R,B,receiver,C1,0,0,0
C,01,B,R,B,receiver,D1,0,0,0
C,01,B,R,B,receiver,E1,0,0,0
C,01,B,R,B,receiver,F1,0,0,0
C,01,B,R,B,receiver,A2,0,0,0
C,01,B,R,B,receiver,B2,0,0,0
C,01,B,R,B,receiver,C2,0,0,0
C,01,B,R,B,receiver,D2,0,0,0
C,01,B,R,B,receiver,E2,0,0,0
C,01,B,R,B,receiver,F2,0,0,0
C,01,B,R,B,receiver,A3,0,0,0
C,01,B,R,B,receiver,B3,0,0,0
C,01,B,R,B,receiver,C3,1,0,0
C,01,B,R,B,receiver,D3,0,0,0
C,01,B,R,B,receiver,E3,0,0,0
C,01,B,R,B,receiver,F3,0,0,0
C,01,B,R,B,receiver,A4,0,0,0
C,01,B,R,B,receiver,B4,1,0,0
C,01,B,R,B,receiver,C4,0,0,0
C,01,B,R,B,receiver,D4,0,0,0
C,01,B,R,B,receiver,E4,0,0,0
C,01,B,R,B,receiver,F4,0,0,0
C,01,B,R,B,receiver,A5,0,0,0
C,01,B,R,B,receiver,B5,0,0,0
C,01,B,R,B,receiver,C5,1,0,0
C,01,B,R,B,receiver,D5,0,0,0
C,01,B,R,B,receiver,E5,0,0,0
C,01,B,R,B,receiver,F5,0,0,0
C,01,B,R,B,receiver,A6,0,0,0
